Year,Month,Region,Region_UNSD,Location,Coordinates,Cause,Route,Source,Quality,Dead,Missing,Total,Females,Males,Children,Survivors
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.40291, -113.02935",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.159, -112.919",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.481483, -111.654933",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.481683, -111.654933",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,Europe,Western Europe,France - Calais,"50.9355, 2",Vehicle accident / death linked to hazardous transport,English Channel to the UK,Calais Migrant Solidarity,4,1,0,1,0,1,1,2
2014,January,Caribbean,Caribbean,"Off the coast of Fort Lauderdale, Florida","26.116, -80",Drowning,Unknown,Local10.com,1,1,0,1,0,1,1,0
2014,February,South-eastern Asia,South-eastern Asia,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110","7.0167471, 100.4674982",Sickness / lack of access to adequate healthcare,Unknown,Manager Online,1,5,0,5,0,5,0,500
2014,February,Mediterranean,Uncategorized,Ceuta waters,"35.8793, -5",Violence,Western Mediterranean,L'Espresso,1,15,0,15,0,1,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.8054, -111.854867",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.992833, -111.385833",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.17305, -112.20211",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,Mediterranean,Uncategorized,Italy waters,"34.5645, 16",Mixed or unknown,Central Mediterranean,Malta Today,1,2,0,2,0,2,0,121
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.00768, -112.1726",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,North America,Northern America,"California-Mexico border near San Diego, California, USA","32.5543, -117",Violence,US-Mexico border crossing,CNN,1,1,0,1,0,1,0,2
2014,February,Caribbean,Caribbean,Dominican Republic,"18.4505, -68",Drowning,Unknown,AP,1,8,0,8,0,0,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.82214, -111.96383",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.08795, -112.58407",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.0885, -112.44956",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,February,Southern Asia,Southern Asia,India,"25.1841, 89",Violence,Unknown,Daily Star,1,1,0,1,0,1,0,0
2014,February,Eastern Africa,Uncategorized,Gulf of Aden (left from Djibouti),"20.2802, 39",Drowning,Horn of Africa to Yemen crossing,IOM,4,11,6,17,0,0,0,0
2014,February,Mediterranean,Uncategorized,Libyan Coast,"33.1597, 15",Violence,Central Mediterranean,Libya herald,1,7,0,7,0,0,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.759, -110.51916","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,1,0,0,0
2014,March,Europe,Western Europe,France - Calais (Killed on motorway),"50.9365, 2",Violence,English Channel to the UK,"La Voix du Nord, Daily Mail UK",1,1,0,1,0,1,0,0
2014,March,South-eastern Asia,South-eastern Asia,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","13.2353642, 101",Vehicle accident / death linked to hazardous transport,Unknown,"Manager Online, INN News, Khomchudluek",0,5,0,5,2,3,0,4
2014,March,South-eastern Asia,South-eastern Asia,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","9.96833, 99",Vehicle accident / death linked to hazardous transport,Unknown,"INN News, Manager Online, Daily News",0,2,0,2,0,2,0,10
2014,March,Central America,Central America,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico","31.6904, -106.425",Violence,US-Mexico border crossing,New York Times,1,1,0,1,1,0,1,0
2014,March,Eastern Africa,Uncategorized,Gulf of Aden,"12.5331, 48",Drowning,Horn of Africa to Yemen crossing,UNHCR,4,0,44,44,0,0,3,33
2014,March,Europe,Western Europe,France - Calais (Hit by lorry in port),"50.9686, 2",Vehicle accident / death linked to hazardous transport,English Channel to the UK,"France Info, Daily Mail UK",3,1,0,1,0,1,0,0
2014,March,North America,Northern America,"King Ranch, Brooks County, Texas, USA","26.81120278, -97.74819915",Mixed or unknown,US-Mexico border crossing,"Operation Identification, University of Texas",5,1,0,1,0,0,0,0
2014,March,Europe,Western Europe,France - Calais (Body found on dock),"50.950273, 2",Mixed or unknown,English Channel to the UK,Daily Mail UK,3,1,0,1,0,1,0,0
2014,March,Europe,Western Europe,France - Calais (Body found crushed in transporter),"50.9688, 2",Vehicle accident / death linked to hazardous transport,English Channel to the UK,Daily Mail UK,3,1,0,1,0,1,0,2
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.789033, -112.114583","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.1386, -112.326",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,March,Mediterranean,Uncategorized,Mediterranean,"34.9797, 13",Vehicle accident / death linked to hazardous transport,Central Mediterranean,Global post,1,1,0,1,0,0,0,0
2014,March,Mediterranean,Uncategorized,"Waters near Lesvos, Greece","39.398814, 26",Drowning,Eastern Mediterranean,Guardian,1,7,2,9,1,1,1,8
2014,March,Eastern Africa,Eastern Africa,"Lake Albert, Uganda/DRC","1.63236, 31",Drowning,Unknown,BBC (UNHCR),1,251,0,251,0,0,0,50
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.558, -111.183",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.94755, -112.06415",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.85666, -111.62433",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,March,Central America,Central America,"Comitan, Chiapas, Mexico","16.2299602, -92",Vehicle accident / death linked to hazardous transport,Unknown,El Siglo de Torreon,1,1,0,1,1,0,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.688867, -111.862733",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,1,0,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.3085, -111.7528",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,March,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.33271, -110.93813",Accidental death,US-Mexico border crossing,Nogales International and Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.354017, -110.989383",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,Eastern Africa,Eastern Africa,"Limpopo River, Zimbabwe","-23.8148, 32",Drowning,Unknown,AllAfrica,1,17,0,17,0,0,0,0
2014,April,Mediterranean,Uncategorized,Italy waters,"35.1092, 14",Mixed or unknown,Central Mediterranean,Deutsche Welle,1,1,0,1,0,0,0,661
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.03171, -112.42503",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.836217, -111.9419",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.12865, -111.330983",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.178733, -112.5039",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.09045, -112.246033",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,April,Northern Africa,Northern Africa,Sudanese-Libyan desert,"23.3112, 22","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Agence France Presse,1,2,0,2,0,0,0,309
2014,April,Northern Africa,Northern Africa,Sudanese-Libyan desert,"23.3112, 22","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Agence France Presse,1,1,0,1,0,0,0,0
2014,April,Northern Africa,Northern Africa,Sudanese-Libyan desert,"23.3112, 22","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Agence France Presse,1,1,0,1,0,0,0,0
2014,April,Northern Africa,Northern Africa,Sudanese-Libyan desert,"23.3112, 22","Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Agence France Presse,1,6,0,6,0,0,0,0
2014,April,Mediterranean,Uncategorized,Turkey waters - en route to Greece,"38.669208, 27",Drowning,Eastern Mediterranean,Unknown,1,8,1,9,2,0,1,5
2014,April,Central America,Central America,"On la Bestia, near Arriaga, Chiapas, Mexico","16.242196, -94",Violence,Unknown,Soy 502,1,4,0,4,0,0,0,3
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.1886, -113.0037",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,South-eastern Asia,South-eastern Asia,Border China/Vietnam,"21.5928, 107",Violence,Unknown,New York Times,1,5,0,5,0,0,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.1833, -112.9961",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,April,South-eastern Asia,South-eastern Asia,"344 Road, 39-40th km, Nong Sue Chang subdistrict, Nong Yai district, Chonburi province, Thailand","13.3493133, 101",Vehicle accident / death linked to hazardous transport,Unknown,"Naewna,  Post Today, Daily News, Manager Online",0,7,0,7,2,5,0,7
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.99887, -110.862595",Violence,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.467633, -110.793333","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,April,Mediterranean,Uncategorized,Coast of Libya,"34.3706, 14",Drowning,Central Mediterranean,Relief Web,1,0,40,40,0,0,0,1
2014,April,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.59867, -111.43782",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,Caribbean,Caribbean,"Dominican Republic, near Boca Chica and Juan Dolio","18.3079, -70",Drowning,Unknown,Dominican Today,1,6,3,9,0,0,0,16
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.58023, -111.79283",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,Mediterranean,Uncategorized,Coast of Libya,"33.1045, 14",Drowning,Central Mediterranean,Relief Web,1,4,0,4,0,0,0,80
2014,May,Europe,Western Europe,"A16 motorway, near Condette, France","50.9513, 1.85869",Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Calais Migrant Solidarity, La Voix du Nord",4,1,0,1,0,1,1,0
2014,May,Mediterranean,Uncategorized,Waters near Greece,"37.848433, 27",Drowning,Eastern Mediterranean,BBC,1,22,7,29,0,0,0,36
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.12555, -112.868",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,Mediterranean,Uncategorized,Coast of Libya,"32.6801, 16",Drowning,Central Mediterranean,Relief Web/UNHCR,4,44,33,77,0,0,0,53
2014,May,Mediterranean,Uncategorized,Mediterranean waters,"35.8196, 12",Mixed or unknown,Central Mediterranean,ANSA Med,1,1,0,1,0,1,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.75233, -111.97016",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,May,South-eastern Asia,South-eastern Asia,"Petchkasem road, Tamtua subdistrict, Takua Pa district, Phang Nga province, Thailand","8.855529, 98",Vehicle accident / death linked to hazardous transport,Unknown,"Sanook, Manager Online, Thairath Online",3,1,0,1,0,0,0,17
2014,May,Northern Africa,Northern Africa,Desert in southern Algeria,"23.5301672, 2",Mixed or unknown,Sahara Desert crossing,Reuters and Middle East eye,3,13,33,46,0,0,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.692369, -110.360473",Violence,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,May,Mediterranean,Uncategorized,International waters between Libya and Italy,"34.7086, 16",Drowning,Central Mediterranean,ANSA Med and Relief Web. Also see NYT http://www.nytimes.com/2014/05/13/world/europe/at-least-14-die-as-migrant-boat-headed-for-italy-sinks-off-libyan-coast.html?_r=0,3,17,200,217,12,2,3,226
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.95283, -112.34965",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.61445, -111.68357",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.46313, -111.6213",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,Mediterranean,Uncategorized,Greece,"39.5061, 20",Accidental death,Eastern Mediterranean,Afghan immigrant dies in back of truck,1,1,0,1,0,1,1,0
2014,May,Europe,Western Europe,"Calais, France","50.9513, 1.85869",Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Calais Migrant Solidarity, La Voix du Nord",4,1,0,1,0,1,1,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.0667, -113.1525",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.34675, -109.4814",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.437783, -111.636383",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.437983, -111.636383",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,May,Eastern Africa,Uncategorized,Gulf of Aden,"12.5331, 48",Drowning,Horn of Africa to Yemen crossing,New Vision,1,62,0,62,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.62445, -111.3423",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.334397, -110.96816","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,Mediterranean,Uncategorized,Italian waters,"35.358, 13",Mixed or unknown,Central Mediterranean,Reuters,1,3,0,3,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.564183, -111.670617",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,1,0,0,0
2014,June,Mediterranean,Uncategorized,Italian waters,"35.4125, 12",Drowning,Central Mediterranean,The Guardian,1,4,0,4,0,0,0,0
2014,June,Mediterranean,Uncategorized,Italian waters,"36.4935, 14",Drowning,Central Mediterranean,The Guardian,1,3,2,5,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.906667, -112.0059","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.23316, -112.959966",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.05, -112.9","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.48843, -112.59816",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.778767, -111.396767","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,1,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.833333, -113.75",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.914994, -111.875669",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.84452, -111.86507",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.14323, -112.58124",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.78543, -111.86321","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.49908, -111.40091",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,June,Mediterranean,Uncategorized,Between Libya and Sicily,"34.2775, 15",Drowning,Central Mediterranean,Reuters,1,10,0,10,0,0,0,39
2014,June,South-eastern Asia,South-eastern Asia,"Highway 304, Chachoengsao-Kabinburi Rd, Muangmai subdistrict, Ratchasan District, Chachoengsao Province, Thailand","13.6702361, 101",Vehicle accident / death linked to hazardous transport,Unknown,"Manager Online, Thairath",3,6,0,6,5,1,0,13
2014,June,Mediterranean,Uncategorized,Central Med Route - Sicily,"35.9061, 12",Mixed or unknown,Central Mediterranean,BBC,1,1,0,1,0,0,0,356
2014,June,South-eastern Asia,South-eastern Asia,"Moo 4, Nong Yai subdistrict, Nong Yai district, Chonburi province, Thailand","13.1394249, 101",Vehicle accident / death linked to hazardous transport,Unknown,"Kom Chad Luek, Khao Sod, Manager Online",3,2,0,2,1,1,0,16
2014,June,Eastern Africa,Uncategorized,Between North Africa and Canary Islands,"28.348645, -13",Drowning,Western Africa / Atlantic route to the Canary Islands,La Vanguardia,1,0,29,29,0,0,0,0
2014,June,North America,Northern America,"La India Ranch, Brooks County, Texas, USA","27.15310333, -98",Mixed or unknown,US-Mexico border crossing,"Operation Identificatio, U. of Texas",5,1,0,1,0,0,0,0
2014,June,Mediterranean,Uncategorized,Morocco/Spain border near Melilla,"35.2783, -3",Violence,Western Mediterranean,L'Espresso,1,4,0,4,0,0,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.16403, -111.71384","Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,South-eastern Asia,South-eastern Asia,Coast of Malaysia - Strait of Malacca,"4.66259, 100",Drowning,Unknown,The World Post (Huffington and BIG),1,9,26,35,1,8,1,62
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.17175, -111.20567",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,June,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.4275, -111.64305",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
